El búho	owl
la ardilla	squirrel
la vaca	cow
el caballo	horse
el léon	lion
el mono/chago	monkey
el pingüino	penguin
el elefante	elephant
el gorila	gorilla
el conejo	rabbit
la rana	frog
la jirafa	giraffe
el pato	duck
el canguro	kangaroo
el perro	dog
el venado	deer
el gato	cat
el rinoceronte	rhinoceros
la tortuga	turtle
el oso	bear
el pulpo	octopus
el avestruz	ostrich
la cabra	goat
el cerdo	pig
la gallina	hen
el gallo	rooster
la serpiente	serpent
el caracol	snail
la mariposa	butterfly
el ratón	mouse
la mosca	fly
la abeja	bee
la araña	spider
la cucaracha	cockroach
el escorpion/alacrán	scorpion
el mosquito	mosquito
la hormiga	ant
el guepardo	cheetah/leopard
el lince	bobcat
el puma	puma
el tigre	tiger
el jaguar	jaguar
la pantera	panther
el lobo	wolf
el delfín	dolphin
la cebra	zebra
el hipopotamo	hippo
el tucán	toucan
el loro	parrot
el burro	donkey
el colibrí	hummingbird
el águila	eagle
el bizonte/búfalo	buffalo
la ballena	whale
la foca	seal
